"",Thu Oct 01 00:00:00 CDT 2015,Sun Nov 01 00:00:00 CDT 2015,Tue Dec 01 00:00:00 CST 2015,Fri Jan 01 00:00:00 CST 2016,Mon Feb 01 00:00:00 CST 2016,Tue Mar 01 00:00:00 CST 2016,Fri Apr 01 00:00:00 CDT 2016,Sun May 01 00:00:00 CDT 2016,Wed Jun 01 00:00:00 CDT 2016,Fri Jul 01 00:00:00 CDT 2016,Mon Aug 01 00:00:00 CDT 2016,Thu Sep 01 00:00:00 CDT 2016,Sat Oct 01 00:00:00 CDT 2016,Tue Nov 01 00:00:00 CDT 2016,Thu Dec 01 00:00:00 CST 2016,Sun Jan 01 00:00:00 CST 2017,Wed Feb 01 00:00:00 CST 2017,Wed Mar 01 00:00:00 CST 2017,Sat Apr 01 00:00:00 CDT 2017,Mon May 01 00:00:00 CDT 2017,Thu Jun 01 00:00:00 CDT 2017,Sat Jul 01 00:00:00 CDT 2017,Tue Aug 01 00:00:00 CDT 2017,Fri Sep 01 00:00:00 CDT 2017,Sun Oct 01 00:00:00 CDT 2017,Tue Oct 31 00:00:00 CDT 2017
JP Morgan Chase & Co.,null,66.680000,66.029999,59.500000,56.299999,59.220001,63.200001,65.269997,62.139999,63.970001,67.500000,66.589996,69.260002,80.169998,85.489998,84.629997,90.620003,87.839996,87.000000,82.150002,91.400002,91.800003,90.889999,95.510002,101.410004,100.610001
Boeing Company (The),null,145.449997,144.589996,120.129997,118.180000,126.940002,134.800003,126.150002,129.869995,133.660004,129.449997,131.740005,142.429993,150.559998,155.679993,163.419998,180.229996,176.860001,184.830002,187.630005,197.750000,242.460007,239.660004,254.210007,259.250000,257.980011
Microsoft Corporation,null,54.349998,55.480000,55.090000,50.880001,55.230000,49.869999,53.000000,51.169998,56.680000,57.459999,57.599998,59.919998,60.259998,62.139999,64.650002,63.980000,65.860001,68.459999,69.839996,68.930000,72.699997,74.769997,74.489998,83.889999,83.180000
Bank of America Corporation,null,17.430000,16.830000,14.140000,12.520000,13.520000,14.560000,14.790000,13.270000,14.490000,16.139999,15.650000,16.500000,21.120001,23.090000,22.639999,24.680000,23.590000,23.340000,22.410000,24.260000,24.120001,23.889999,25.340000,27.600000,27.389999
Wells Fargo & Company,null,55.099998,54.360001,50.230000,46.919998,48.360001,49.980000,50.720001,47.330002,47.970001,50.799999,44.279999,46.009998,52.919998,55.110001,56.330002,57.880001,55.660000,53.840000,51.139999,55.410000,53.939999,51.070000,55.150002,55.849998,56.139999
"Home Depot, Inc. (The)",null,133.880005,132.250000,125.760002,124.120003,133.429993,133.889999,132.119995,127.690002,138.240005,134.119995,128.679993,122.010002,129.399994,134.080002,137.580002,144.910004,146.830002,156.100006,153.509995,153.399994,149.600006,149.869995,163.559998,165.309998,165.779999
"Citigroup, Inc.",null,54.090000,51.750000,42.580002,38.849998,41.750000,46.279999,46.570000,42.389999,43.810001,47.740002,47.230000,49.150002,56.389999,59.430000,55.830002,59.810001,59.820000,59.119999,60.540001,66.879997,68.449997,68.029999,72.739998,73.779999,73.500000
Phillips 66,null,91.529999,81.800003,80.150002,79.389999,86.589996,82.110001,80.360001,79.339996,76.059998,78.449997,80.550003,81.150002,83.080002,86.410004,81.620003,78.190002,79.220001,79.559998,76.110001,82.690002,83.750000,83.809998,91.610001,91.019997,91.080002
International Business Machines,null,139.419998,137.619995,124.790001,131.029999,151.449997,145.940002,153.740005,151.779999,160.619995,158.880005,158.850006,153.690002,162.220001,165.990005,174.520004,179.820007,174.139999,160.289993,152.630005,153.830002,144.669998,143.029999,145.080002,154.360001,154.059998
Valero Energy Corporation,null,71.860001,70.709999,67.870003,60.080002,64.139999,58.869999,54.700001,51.000000,52.279999,55.349998,53.000000,59.240002,61.560001,68.320000,65.760002,67.949997,66.290001,64.610001,61.470001,67.459999,68.970001,68.099998,76.930000,78.400002,78.889999
